BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
LJPNBSUQ,NL79LPAG9046133874,BS,Nicolas,Renard France,1,Nicolas
LJPNBSUQ,NL79LPAG9046133874,BS,Nicolas,,1,Nicolas
LJPNBSUQ,NL79LPAG9046133874,BS,Nicolas,,1,Nicolas
LJPNBSUQ,NL79LPAG9046133874,BS,Nicolas,Renard FR,1,Nicolas
LJPNBSUQ,NL79LPAG9046133874,BS,Nicolas,rue Martinez15 RenardRenard FR,1,Nicolas
LJPNBSUQ,NL79LPAG9046133874,BS,Nicolas,,1,Nicolas
LJPNBSUQ,NL79LPAG9046133874,BS,Lombard Sauvage et Fils,"rue Margaud anguy,97 Colin Colin,France",1,Lombard Sauvage et Fils
LJPNBSUQ,NL79LPAG9046133874,BS,Lombard Sauvage et Fils,Colin FR,1,Lombard Sauvage et Fils
LJPNBSUQ,NL79LPAG9046133874,BS,Lombard Sauvage et Fils,,1,Lombard Sauvage et Fils
LJPNBSUQ,NL79LPAG9046133874,BS,Lombard Sauvage  et Fils,,1,Lombard Sauvage et Fils
LJPNBSUQ,NL79LPAG9046133874,BS,Lombard Sauvage et Fils,,1,Lombard Sauvage et Fils
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG S.A.,,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones-GFG S.a.,32039 Ourense,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG,,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG,Ourense ES,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG S.U.,Spain,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG SA,,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG S.C.,Ourense,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG S.p.A.,,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG,Spain,0,Distribuciones GFG S.A.
NQKSFIPN,DE74232949013788099546,FI,Distribuciones GFG SA,"Callejón de Ana Pomares,32039 Ourense,Spain",0,Distribuciones GFG S.A.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel S.A.R.L.,,0,Besnard Morel S.A.R.L.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel S.C.A.R.L,71 Philippenec avenue Astrid Leconte-Philippeec,0,Besnard Morel S.A.R.L.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel,,0,Besnard Morel S.A.R.L.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel S.c.a.r.l.,02897 Philippenec,0,Besnard Morel S.A.R.L.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel,,0,Besnard Morel S.A.R.L.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel,Philippenec FR,0,Besnard Morel S.A.R.L.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel,,0,Besnard Morel S.A.R.L.
UFOFSSDO,NL31RKUA0580295771,SS,Besnard Morel,,0,Besnard Morel S.A.R.L.
HZTQAIOS,GB34TORH72695572590895,AI,Sollima-Prodi Group,Italia,1,Sollima-Prodi Group
HZTQAIOS,GB34TORH72695572590895,AI,"Curiel, Zoppetti e Bombieri s.r.l.",Montefortino IT,1,"Curiel, Zoppetti e Bombieri s.r.l."
HZTQAIOS,GB34TORH72695572590895,AI,"Curiel,  Zoppetti e/Bombieri",,1,"Curiel, Zoppetti e Bombieri s.r.l."
HZTQAIOS,GB34TORH72695572590895,AI,"Curiel, Zoppetti Bombieri",,1,"Curiel, Zoppetti e Bombieri s.r.l."
HZTQAIOS,GB34TORH72695572590895,AI,"Curiel, Zoppetti e Bombieri SRL",,1,"Curiel, Zoppetti e Bombieri s.r.l."
HZTQAIOS,GB34TORH72695572590895,AI,"Curiel,-Zoppetti e  Bombieri S.r.l.",,1,"Curiel, Zoppetti e Bombieri s.r.l."
HZTQAIOS,GB34TORH72695572590895,AI,Torlonia-Rossetti Group,Portofino Italia,1,Torlonia-Rossetti Group
HZTQAIOS,GB34TORH72695572590895,AI,Torlonia Rossetti Grp SpA- ,Portofino,1,Torlonia-Rossetti Group
GEHDPMVX,NL46KEVU1954472107,PM,"Christian, Baker and Schmidt",,0,"Christian, Baker and Schmidt"
GEHDPMVX,NL46KEVU1954472107,PM,"Christian, Baker Ind. Schmidt",531 77287 Kimberly Prairie Suite 555-Mackenziechester,0,"Christian, Baker and Schmidt"
GEHDPMVX,NL46KEVU1954472107,PM,"Christian, Baker Schmidt","531,Kimberly Prairie Suite 555-Macenziechester-IL 77287",0,"Christian, Baker and Schmidt"
GEHDPMVX,NL46KEVU1954472107,PM,"Christian,- Baker  Inds",,0,"Christian, Baker and Schmidt"
GEHDPMVX,NL46KEVU1954472107,PM,"Christian, Baker Schmidt",United tates,0,"Christian, Baker and Schmidt"
GEHDPMVX,NL46KEVU1954472107,PM,"Christian, Baker Inds. Schmidt",531Kimberly Prairie Suite 555Mackenziechester IL/77287,0,"Christian, Baker and Schmidt"
UDCRJET0,FR2250250922223818164748190,JE,Putz,,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz Company,,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz,,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz Co.,,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz Co,,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz.,"Drubinstraße/Quedlinburg,Quedlinburg,DE",0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz,Quedlinburg,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz Comp.,,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz,,0,Putz
UDCRJET0,FR2250250922223818164748190,JE,Putz,,0,Putz
JIUPAOWS,GB51BKOF76353467601188,AO,Noble Ltd,,1,Noble Ltd
JIUPAOWS,GB51BKOF76353467601188,AO,Howell-Patel,,1,Howell-Patel
BSPFSJVL,IT12M2659416185634900812597,SJ,Moura,__ _  _,1,Moura
BSPFSJVL,IT12M2659416185634900812597,SJ,Moura,,1,Moura
BSPFSJVL,IT12M2659416185634900812597,SJ,Moura Industries,,1,Moura
BSPFSJVL,IT12M2659416185634900812597,SJ,Campos,,1,Campos
BSPFSJVL,IT12M2659416185634900812597,SJ,Cardoso,Santo Agosinho Brazil,1,Cardoso
BSPFSJVL,IT12M2659416185634900812597,SJ,Lima S.A.,Vila Coqueiral,1,Lima S.A.
