BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
DKVXCRRJ,GB79EXSS80407746220299,CR,Koninklijke van der Spaendonck,,0,Koninklijke van der Spaendonck
DKVXCRRJ,GB79EXSS80407746220299,CR,Koninklijke van der,,0,Koninklijke van der Spaendonck
DKVXCRRJ,GB79EXSS80407746220299,CR,Koninklijke van der Spaendonck,,0,Koninklijke van der Spaendonck
DKVXCRRJ,GB79EXSS80407746220299,CR,Koninklijke/van der Spaendonck,,0,Koninklijke van der Spaendonck
ZKYPBQIO,FR1376479691092317408442957,BQ,van der Stael de Jonge & Genefaas,,1,van der Stael de Jonge & Genefaas
ZKYPBQIO,FR1376479691092317408442957,BQ,Stichting van der Horst,TienhovenNL,1,Stichting van der Horst
UTGVJODF,GB28HNSZ82754562765644,JO,Casarin SPA,,1,Casarin SPA
UTGVJODF,GB28HNSZ82754562765644,JO,Veneziano SPA,Strada ChigiAppartamento 61 Csal Di Principe Italia,1,Veneziano SPA
LIYLGIPL,ES0888115070287068395181,GI,Gautier S.A.S.,,1,Gautier S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Gautier S.A.S. Inds.,,1,Gautier S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Gautier -,,1,Gautier S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Bouvet Riou S.A.S.,,1,Bouvet Riou S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Bouvet Riou,,1,Bouvet Riou S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Bouvet  Riou,Michel FR,1,Bouvet Riou S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Bouvet Riou S.a.s.,,1,Bouvet Riou S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Bouvet  Riou S.a.s.,chemin Véronique Schmitt 75236 Michel,1,Bouvet Riou S.A.S.
LIYLGIPL,ES0888115070287068395181,GI,Bouvet Riou,-,1,Bouvet Riou S.A.S.
