BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
UOURUZDB,GB16BHMQ16553217644540,UZ,Sauro-Udinese s.r.l.,,1,Sauro-Udinese s.r.l.
UOURUZDB,GB16BHMQ16553217644540,UZ,Sauro Udinese SRL Cpn.,,1,Sauro-Udinese s.r.l.
UOURUZDB,GB16BHMQ16553217644540,UZ,Sauro Udinese,"Appartamento ,Strada Pizzo,Perfugas",1,Sauro-Udinese s.r.l.
UOURUZDB,GB16BHMQ16553217644540,UZ,Sauro Udinese S.R.L.-Cpn.,,1,Sauro-Udinese s.r.l.
UOURUZDB,GB16BHMQ16553217644540,UZ,Gabba-Angeli s.r.l.,,1,Gabba-Angeli s.r.l.
TLBFKRAA,GB33YQIA31366713536223,KR,Daniels-Reilly,West Matthew,1,Daniels-Reilly
TLBFKRAA,GB33YQIA31366713536223,KR,Mcclure PLC,"Michelle Keys 37472 44154/ake William,(NJ)/United States",1,Mcclure PLC
WHWXSBS1,GB93TJXH64400387022361,SB,Butler Ltd,,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler Ltd,"Johnson garden  697,New Francis GB",0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler LTD  S.P.A,,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler,New Francis GB,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler Ltd S.P.A,,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler,,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler,,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler,Johnson garden/697 New Francis  GB,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler Limited S.P.A,,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler- Ltd,,0,Butler Ltd
WHWXSBS1,GB93TJXH64400387022361,SB,Butler,,0,Butler Ltd
XRUFSOGX,NL50RRER7183578076,SO,Landal Greenparks,/ / /,0,Landal Greenparks
XRUFSOGX,NL50RRER7183578076,SO,Landal. Greenparks,,0,Landal Greenparks
XRUFSOGX,NL50RRER7183578076,SO,Landal/Greenparks,& &  &,0,Landal Greenparks
XRUFSOGX,NL50RRER7183578076,SO,Landal Greenparks,,0,Landal Greenparks
XRUFSOGX,NL50RRER7183578076,SO,Landal Greenparks,Netherlands,0,Landal Greenparks
XRUFSOGX,NL50RRER7183578076,SO,Landal Greenparks,,0,Landal Greenparks
XRUFSOGX,NL50RRER7183578076,SO,Landal Greenparks,,0,Landal Greenparks
XRUFSOGX,NL50RRER7183578076,SO,Landal Greenparks,,0,Landal Greenparks
ABXUCLET,GB34HMMG27800211831890,CL,Comercial Acuña & Asociados S.L.,,1,Comercial Acuña & Asociados S.L.
ABXUCLET,GB34HMMG27800211831890,CL,Albert Guzman López S.Com.,,1,Albert Guzman López S.Com.
ABXUCLET,GB34HMMG27800211831890,CL,Albert Guzman S.Com.,,1,Albert Guzman López S.Com.
ABXUCLET,GB34HMMG27800211831890,CL,Albert Guzman López S.Com.,,1,Albert Guzman López S.Com.
ABXUCLET,GB34HMMG27800211831890,CL,Pedrero & Asociados S.A.,Vial de Reina Rico  871-Segovia 43923,1,Pedrero & Asociados S.A.
ORQGNUJW,GB92QAGP74488643536649,NU,Tomei-Baglioni Group,"Viale Gargallo,59 Piano 310099 San Mauro Torinese-TO",0,Tomei-Baglioni Group
ORQGNUJW,GB92QAGP74488643536649,NU,Tomei Baglioni Group S.D.F.,Viale Gargallo-59 Piano 3/10099  San Mauro TorineseTO,0,Tomei-Baglioni Group
PXWTNPXH,NL98EFCB5302102257,NP,Brandt NV,"Indybaan  Tinallinge Tinallinge,Netherlands",0,Brandt NV
PXWTNPXH,NL98EFCB5302102257,NP,Brandt NV .Limited,Tinallinge Netherlands,0,Brandt NV
PXWTNPXH,NL98EFCB5302102257,NP,Brandt NV/,,0,Brandt NV
PXWTNPXH,NL98EFCB5302102257,NP,Brandt NV LTD,Tinallinge,0,Brandt NV
PXWTNPXH,NL98EFCB5302102257,NP,Brandt .NV Limited,Netherlands,0,Brandt NV
PXWTNPXH,NL98EFCB5302102257,NP,Brandt NV Ltée,,0,Brandt NV
PXWTNPXH,NL98EFCB5302102257,NP,Brandt NV,Netherlands,0,Brandt NV
UDXJSRNY,ES5822859546604116548760,SR,Lima,,1,Lima
UDXJSRNY,ES5822859546604116548760,SR,Novaes - EI,Brazil,1,Novaes - EI
UDXJSRNY,ES5822859546604116548760,SR,da Paz,,1,da Paz
UDXJSRNY,ES5822859546604116548760,SR,Cunha da Luz Ltda.,,1,Cunha da Luz Ltda.
JXHTFJKS,DE83875047721632799230,FJ,Mejia-Butler,,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia Butler .S.R.L.,,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia Butler,33403 Chad Ranch Apt. 910 Jacquelinestad  VA41234,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia Butler,Jacquelinestad US,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia Butler S.r.L,,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,"Mejia Butler,",Chad Ranch Apt. 910 33403 41234Jacquelinestad VA  United States,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia  Butler S.r.L,,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia .Butler S.R.L.,41234  Jacquelinestad,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia Butler,Chad Ranch Apt. 91033403 41234 Jacquelinestad  United States,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia Butler S.R.L.,,0,Mejia-Butler
JXHTFJKS,DE83875047721632799230,FJ,Mejia Butler,,0,Mejia-Butler
NSGGGFFE,GB25AXEN26405949261887,GF,Lemonnier,,1,Lemonnier
NSGGGFFE,GB25AXEN26405949261887,GF,Lemonnier.Corp.,,1,Lemonnier
NSGGGFFE,GB25AXEN26405949261887,GF,Guichard,#,1,Guichard
NSGGGFFE,GB25AXEN26405949261887,GF,Guichard SNC,,1,Guichard
NSGGGFFE,GB25AXEN26405949261887,GF,Guichard  SNC,,1,Guichard
XVOVIEYW,NL29UEJS2395333126,IE,Vega Ltd,Port Jasmineshire United States,1,Vega Ltd
XVOVIEYW,NL29UEJS2395333126,IE,Peterson-Clay,62492 Simmonsview,1,Peterson-Clay
XVOVIEYW,NL29UEJS2395333126,IE,Peterson  Clay,62492  Simmonsview,1,Peterson-Clay
XVOVIEYW,NL29UEJS2395333126,IE,Peterson Clay,Elaine Extension  62217 62492/Simmonsview United States,1,Peterson-Clay
QPZIVGZE,IT61Q4990832524348328428366,VG,Huls & Slaetsdochter,Netherlands,1,Huls & Slaetsdochter
QPZIVGZE,IT61Q4990832524348328428366,VG,DSM,Yerseke Aydeweg Yerseke,1,DSM
CTXQIOIY,IT64Q6583922842209301690304,IO,"Jones, Morrison and Wallace",,1,"Jones, Morrison and Wallace"
CTXQIOIY,IT64Q6583922842209301690304,IO,"Holloway, Clarke and Middleton",,1,"Holloway, Clarke and Middleton"
CTXQIOIY,IT64Q6583922842209301690304,IO,"Holloway, Clarke - Ind. Middleton",&,1,"Holloway, Clarke and Middleton"
CTXQIOIY,IT64Q6583922842209301690304,IO,"Holloway,  Clarke- Inds Middleton",,1,"Holloway, Clarke and Middleton"
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson Ltd,New Antony GB,0,Pearson Ltd
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson Ltd,Warren fall  New Antony,0,Pearson Ltd
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson  Ltée Cpn,,0,Pearson Ltd
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson Ltée Cpn,,0,Pearson Ltd
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson Ltd Corp,,0,Pearson Ltd
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson Ltd Corp,New Antony GB,0,Pearson Ltd
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson Ltd Cpn,,0,Pearson Ltd
KQZSSJPM,GB39LWNU61367291913135,SJ,Pearson Ltd,Warren falls  New Antony,0,Pearson Ltd
MTSMCVSS,FR6047137379199327398636684,CV,da Costa,,1,da Costa
MTSMCVSS,FR6047137379199327398636684,CV,Alves Ltda.,,1,Alves Ltda.
